date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"5,50",5500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,22/23,Iago
06.2022,2022-06-09,25,"5,50",5500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Iago
12.2021,2021-12-22,24,"4,50",4500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Iago
06.2021,2021-06-09,24,"5,00",5000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Iago
02.2021,2021-02-10,23,"6,50",6500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Iago
11.2020,2020-11-26,23,"6,50",6500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Iago
04.2020,2020-04-08,23,"4,00",4000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,19/20,Iago
12.2019,2019-12-17,22,"5,00",5000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,19/20,Iago
10.2019,2019-10-02,22,"5,00",5000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,19/20,Iago
02.2019,2019-02-18,21,"2,00",2000000,€,Mio.,6600,SC Internacional Porto Alegre,Internacional,https://tmssl.akamaized.net/images/wappen/medium/6600.png?lm=1644878605,18/19,Iago
05.2018,2018-05-23,21,"1,00",1000000,€,Mio.,6600,SC Internacional Porto Alegre,Internacional,https://tmssl.akamaized.net/images/wappen/medium/6600.png?lm=1644878605,17/18,Iago
12.2017,2017-12-07,20,500,500000,€,Tsd.,6600,SC Internacional Porto Alegre,Internacional,https://tmssl.akamaized.net/images/wappen/medium/6600.png?lm=1644878605,17/18,Iago
10.2017,2017-10-30,20,500,500000,€,Tsd.,6600,SC Internacional Porto Alegre,Internacional,https://tmssl.akamaized.net/images/wappen/medium/6600.png?lm=1644878605,17/18,Iago
