date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,24,"20,00",20000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,22/23,Borna Sosa
09.2022,2022-09-21,24,"20,00",20000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,22/23,Borna Sosa
06.2022,2022-06-09,24,"23,00",23000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Borna Sosa
12.2021,2021-12-22,23,"20,00",20000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Borna Sosa
06.2021,2021-06-09,23,"16,00",16000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Borna Sosa
03.2021,2021-03-31,23,"12,00",12000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Borna Sosa
02.2021,2021-02-10,23,"6,00",6000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Borna Sosa
11.2020,2020-11-26,22,"3,00",3000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Borna Sosa
07.2020,2020-07-15,22,"2,00",2000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Borna Sosa
04.2020,2020-04-08,22,"2,70",2700000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,19/20,Borna Sosa
12.2019,2019-12-13,21,"3,00",3000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,19/20,Borna Sosa
06.2019,2019-06-05,21,"4,00",4000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,18/19,Borna Sosa
12.2018,2018-12-18,20,"6,00",6000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,18/19,Borna Sosa
08.2018,2018-08-22,20,"6,00",6000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,18/19,Borna Sosa
03.2018,2018-03-18,20,"1,75",1750000,€,Mio.,419,GNK Dinamo Zagreb,Dinamo Zagreb,https://tmssl.akamaized.net/images/wappen/medium/419.png?lm=1571921138,17/18,Borna Sosa
10.2017,2017-10-23,19,"1,00",1000000,€,Mio.,419,GNK Dinamo Zagreb,Dinamo Zagreb,https://tmssl.akamaized.net/images/wappen/medium/419.png?lm=1571921138,17/18,Borna Sosa
03.2017,2017-03-13,19,750,750000,€,Tsd.,419,GNK Dinamo Zagreb,Dinamo Zagreb,https://tmssl.akamaized.net/images/wappen/medium/419.png?lm=1571921138,16/17,Borna Sosa
09.2016,2016-09-14,18,500,500000,€,Tsd.,419,GNK Dinamo Zagreb,Dinamo Zagreb,https://tmssl.akamaized.net/images/wappen/medium/419.png?lm=1571921138,16/17,Borna Sosa
03.2015,2015-03-17,17,250,250000,€,Tsd.,44796,GNK Dinamo Zagreb II,Din. Zagreb II,https://tmssl.akamaized.net/images/wappen/medium/44796.png?lm=1571921138,14/15,Borna Sosa
